iter	RMSE	RMSE
0	192219.5454	192219.5454
1	187079.4935	187079.4935
2	182128.5098	182128.5098
3	177371.4802	177371.4802
4	172741.3583	172741.3583
5	168323.8901	168323.8901
6	164084.969	164084.969
7	160148.174	160148.174
8	156207.7196	156207.7196
9	152150.39	152150.39
10	148295.2664	148295.2664
11	144583.2106	144583.2106
12	140966.2301	140966.2301
13	137577.0819	137577.0819
14	134282.7774	134282.7774
15	131287.0564	131287.0564
16	128123.3316	128123.3316
17	125068.7077	125068.7077
18	122195.3453	122195.3453
19	119303.9189	119303.9189
20	116447.4987	116447.4987
21	113627.686	113627.686
22	110989.654	110989.654
23	108560.9398	108560.9398
24	106156.0152	106156.0152
25	103681.56	103681.56
26	101356.6657	101356.6657
27	99223.57136	99223.57136
28	96988.63501	96988.63501
29	94896.8564	94896.8564
30	92780.49354	92780.49354
31	90789.70374	90789.70374
32	88771.6846	88771.6846
33	87024.72096	87024.72096
34	85346.74417	85346.74417
35	83539.07911	83539.07911
36	81846.59763	81846.59763
37	80512.24688	80512.24688
38	78926.04825	78926.04825
39	77343.59417	77343.59417
40	75826.16678	75826.16678
41	74318.99605	74318.99605
42	72899.342	72899.342
43	71527.0054	71527.0054
44	70248.78011	70248.78011
45	68938.37995	68938.37995
46	67866.27064	67866.27064
47	66651.45387	66651.45387
48	65483.67896	65483.67896
49	64349.11581	64349.11581
50	63179.88195	63179.88195
51	62041.66205	62041.66205
52	61015.22563	61015.22563
53	59985.13153	59985.13153
54	58970.77824	58970.77824
55	58034.22485	58034.22485
56	57096.44407	57096.44407
57	56239.37448	56239.37448
58	55462.03916	55462.03916
59	54623.16669	54623.16669
60	53802.3767	53802.3767
61	53025.64016	53025.64016
62	52282.67083	52282.67083
63	51478.80302	51478.80302
64	50789.63662	50789.63662
65	50162.23422	50162.23422
66	49568.40973	49568.40973
67	48884.70407	48884.70407
68	48238.58893	48238.58893
69	47680.6768	47680.6768
70	47075.99805	47075.99805
71	46501.72458	46501.72458
72	45983.26993	45983.26993
73	45458.99496	45458.99496
74	44976.27806	44976.27806
75	44444.91454	44444.91454
76	44012.44698	44012.44698
77	43626.94759	43626.94759
78	43218.59023	43218.59023
79	42798.91897	42798.91897
80	42275.04758	42275.04758
81	41862.6855	41862.6855
82	41566.2561	41566.2561
83	41178.64956	41178.64956
84	40851.78937	40851.78937
85	40544.63193	40544.63193
86	40258.38956	40258.38956
87	39959.03274	39959.03274
88	39672.13077	39672.13077
89	39362.92887	39362.92887
90	39048.61837	39048.61837
91	38713.33667	38713.33667
92	38462.72504	38462.72504
93	38197.18046	38197.18046
94	37899.56837	37899.56837
95	37664.28721	37664.28721
96	37371.4687	37371.4687
97	37181.46901	37181.46901
98	37000.96624	37000.96624
99	36776.40332	36776.40332
100	36474.06849	36474.06849
101	36310.43875	36310.43875
102	36081.47493	36081.47493
103	35848.85219	35848.85219
104	35585.45634	35585.45634
105	35368.5646	35368.5646
106	35148.03193	35148.03193
107	34901.11936	34901.11936
108	34718.40903	34718.40903
109	34600.06753	34600.06753
110	34408.18385	34408.18385
111	34241.94195	34241.94195
112	34047.60016	34047.60016
113	33822.19803	33822.19803
114	33545.47649	33545.47649
115	33385.74498	33385.74498
116	33207.62579	33207.62579
117	33108.14103	33108.14103
118	32953.60215	32953.60215
119	32821.56613	32821.56613
120	32578.25972	32578.25972
121	32462.21576	32462.21576
122	32267.82423	32267.82423
123	32113.49362	32113.49362
124	32037.8031	32037.8031
125	31898.72872	31898.72872
126	31719.37	31719.37
127	31653.37268	31653.37268
128	31480.88953	31480.88953
129	31317.24368	31317.24368
130	31187.33801	31187.33801
131	31072.39966	31072.39966
132	30958.19735	30958.19735
133	30834.95511	30834.95511
134	30694.231	30694.231
135	30618.62268	30618.62268
136	30484.56267	30484.56267
137	30372.64612	30372.64612
138	30277.63501	30277.63501
139	30151.02276	30151.02276
140	30047.34582	30047.34582
141	29970.50668	29970.50668
142	29879.22806	29879.22806
143	29821.52937	29821.52937
144	29767.07688	29767.07688
145	29700.90957	29700.90957
146	29616.99366	29616.99366
147	29514.82449	29514.82449
148	29465.74113	29465.74113
149	29367.28599	29367.28599
150	29284.71251	29284.71251
151	29217.49566	29217.49566
152	29160.30243	29160.30243
153	29041.29834	29041.29834
154	28933.73725	28933.73725
155	28869.30678	28869.30678
156	28772.014	28772.014
157	28724.43631	28724.43631
158	28661.44848	28661.44848
159	28612.84233	28612.84233
160	28537.74033	28537.74033
161	28450.54821	28450.54821
162	28375.28811	28375.28811
163	28321.71015	28321.71015
164	28226.7989	28226.7989
165	28141.05036	28141.05036
166	28067.27997	28067.27997
167	28041.79945	28041.79945
168	27972.03007	27972.03007
169	27944.30539	27944.30539
170	27919.93194	27919.93194
171	27816.60118	27816.60118
172	27759.89747	27759.89747
173	27670.83609	27670.83609
174	27607.68759	27607.68759
175	27564.84196	27564.84196
176	27476.60306	27476.60306
177	27393.78636	27393.78636
178	27317.19389	27317.19389
179	27229.13025	27229.13025
180	27145.26888	27145.26888
181	27057.44565	27057.44565
182	26986.50228	26986.50228
183	26963.42446	26963.42446
184	26900.92128	26900.92128
185	26843.57412	26843.57412
