iter	Passed	Remaining
0	59	29506
1	88	22061
2	110	18224
3	135	16788
4	142	14120
5	157	13001
6	178	12600
7	183	11308
8	210	11462
9	227	11138
10	232	10341
11	245	9987
12	272	10218
13	307	10664
14	341	11042
15	346	10472
16	351	9978
17	377	10118
18	406	10284
19	431	10350
20	444	10132
21	455	9888
22	486	10096
23	527	10454
24	558	10613
25	576	10503
26	581	10180
27	585	9876
28	604	9823
29	609	9555
30	627	9490
31	649	9493
32	675	9556
33	682	9358
34	688	9147
35	726	9367
36	759	9500
37	760	9249
38	771	9124
39	796	9163
40	804	9009
41	812	8861
42	840	8930
43	868	8999
44	902	9127
45	919	9078
46	929	8961
47	969	9130
48	994	9154
49	1019	9179
50	1051	9258
51	1096	9445
52	1135	9578
53	1150	9505
54	1187	9606
55	1214	9626
56	1246	9689
57	1290	9833
58	1340	10021
59	1360	9976
60	1400	10076
61	1411	9969
62	1446	10030
63	1468	10007
64	1498	10027
65	1520	9997
66	1534	9915
67	1568	9963
68	1602	10008
69	1640	10077
70	1675	10126
71	1715	10196
72	1731	10128
73	1765	10162
74	1801	10208
75	1833	10230
76	1865	10249
77	1885	10203
78	1918	10221
79	1945	10215
80	1975	10216
81	1985	10122
82	1994	10022
83	2002	9915
84	2032	9924
85	2038	9814
86	2051	9740
87	2064	9665
88	2078	9597
89	2105	9592
90	2136	9604
91	2155	9561
92	2161	9458
93	2175	9394
94	2204	9396
95	2236	9412
96	2254	9366
97	2262	9282
98	2269	9190
99	2302	9209
100	2332	9214
101	2346	9154
102	2376	9161
103	2401	9142
104	2416	9091
105	2429	9029
106	2457	9026
107	2485	9020
108	2491	8938
109	2506	8888
110	2539	8898
111	2574	8917
112	2596	8892
113	2629	8903
114	2660	8905
115	2680	8872
116	2700	8841
117	2711	8777
118	2722	8717
119	2733	8656
120	2760	8645
121	2794	8658
122	2830	8674
123	2844	8623
124	2884	8653
125	2920	8669
126	2952	8672
127	2965	8619
128	2990	8601
129	3019	8594
130	3065	8635
131	3100	8644
132	3131	8640
133	3151	8606
134	3175	8586
135	3184	8521
136	3205	8493
137	3234	8483
138	3262	8472
139	3290	8461
140	3327	8473
141	3346	8438
142	3371	8417
143	3384	8366
144	3411	8351
145	3434	8328
146	3458	8305
147	3492	8307
148	3499	8242
149	3535	8248
150	3572	8257
151	3596	8234
152	3626	8223
153	3648	8196
154	3675	8180
155	3701	8162
156	3737	8164
157	3756	8130
158	3788	8124
159	3817	8111
160	3846	8098
161	3871	8078
162	3881	8025
163	3888	7966
164	3914	7947
165	3942	7931
166	3964	7906
167	3974	7855
168	4001	7837
169	4010	7784
170	4017	7729
171	4042	7709
172	4068	7689
173	4097	7677
174	4116	7644
175	4141	7624
176	4172	7614
177	4199	7596
178	4225	7577
179	4240	7537
180	4267	7521
181	4295	7504
182	4320	7483
183	4328	7433
184	4339	7389
185	4370	7377
186	4404	7372
187	4414	7325
188	4427	7284
189	4434	7234
190	4436	7177
191	4456	7148
192	4463	7100
193	4488	7079
194	4499	7037
195	4515	7003
196	4529	6966
197	4554	6946
198	4565	6905
199	4596	6894
200	4628	6884
201	4655	6867
202	4672	6836
203	4697	6815
204	4719	6792
205	4739	6763
206	4755	6730
207	4779	6710
208	4800	6683
209	4816	6651
210	4848	6641
211	4881	6630
212	4905	6609
213	4933	6593
214	4963	6579
215	4992	6563
216	5018	6545
217	5042	6522
218	5091	6533
219	5123	6520
220	5152	6505
221	5187	6495
222	5217	6481
223	5233	6448
224	5250	6417
225	5265	6383
226	5289	6361
227	5322	6349
228	5333	6311
229	5356	6288
230	5380	6266
231	5407	6246
232	5427	6219
233	5448	6193
234	5472	6171
235	5496	6148
236	5534	6141
237	5556	6117
238	5597	6113
239	5623	6091
240	5627	6048
241	5644	6017
242	5665	5991
243	5690	5970
244	5714	5948
245	5750	5937
246	5777	5917
247	5805	5898
248	5827	5874
